BLAST file	WP_011038360.1 XopG/HopH/AvrPtoH family type III secretion system effector [Xanthomonas campestris]
WHRI_5494A_Race_1_contig	0
WHRI_6290_Race_1_contig	0
WHRI_3843B_Race_1_contig	0
ATCC_33913_Clade_C	?
WHRI_6022A_Race_1_contig	0
WHRI_5802_Race_1_contig	0
WHRI_8409_Race_1_contig	0
WHRI_5499_Race_1_contig	0
WHRI_5495_Race_1_contig	0
8004_Race_9_contig	0
WHRI_6018A_Race_1_contig	0
WHRI_5630_Race_1_contig	0
WHRI_5714B_Race_1_contig	0
WHRI_5743_Race_1_contig	0
WHRI_5735_Race_1_contig	0
WHRI_5742_Race_1__contig	0
WHRI_5733_Race_1_contig	0
WHRI_5736_Race_1_contig	0
WHRI_5715A_Race_1_contig	0
WHRI_5588_Race_4_contig	0
WHRI_5585_Race_4_contig	0
WHRI_5582_Race_4_contig	0
WHRI_6366_Race_4_contig	0
WHRI_3830A_Race_4_contig	0
WHRI_3820A_Race_4_contig	0
WHRI_6312A_Race_4_contig	0
WHRI_3832A_Race_4_contig	0
WHRI_8838_Race_9_contig	1
WHRI_8891A_Race_5_contig	1
WHRI_6382_Race_5_contig	1
WHRI_3883_Race_5_contig	1
WHRI_8450A_Race_6_contig	0
CN05_Race_6_Clade_D_contig	0
WHRI_8448A_Race_6_contig	0
WHRI_8446_Race_6_contig	0
WHRI_8808_Race_6_contig	0
WHRI_8403_Race_6_contig	0
WHRI_8458A_Race_6_contig	0
WHRI_8806_Race_6_contig	0
WHRI_8807_Race_6_contig	0
WHRI_8429A_Race_6_contig	0
WHRI_8892A_Race_5_contig	1
WHRI_8909A_Race_5_contig	1
WHRI_8908_Race_5_contig	1
WHRI_8981_Race_5_contig	1
WHRI_8980_Race_5_contig	1
WHRI_8959A_Race_5_contig	1
WHRI_8879_Race_9_contig	1
WHRI_6067_Race_4_contig	0
WHRI_8820_Race_3_contig	1
WHRI_8819_Race_3_contig	1
WHRI_8405_Race_5_contig	1
WHRI_3880_Race_5_contig	1
CFBP_6865R_Race_5_Clade_E_contig	1
WHRI_8979_Race_5_contig	1
WHRI_8934A_Race_5_contig	1
WHRI_10030A_Race_5_contig	1
CN19_Race_1_Clade_B_contig	0
WHRI_6368_Race_4_contig	0
WHRI_6188_Race_4_contig	0
WHRI_5190_Race_4_contig	0
WHRI_5819_Race_4_contig	0
CFBP_5817_Race_4_Clade_B_contig	0
WHRI_6194_Race_4_contig	0
WHRI_1279A_Race_4_contig	0
WHRI_8763_Race_1_contig	0
WHRI_6192_Race_1_contig	0
WHRI_8733_Race_1_contig	0
WHRI_8662_Race_1_contig	0
WHRI_8572_Race_1_contig	0
WHRI_8759_Race_1_contig	0
CN20_Race_1_contig	0
WHRI_6087_Race_1_contig	0
WHRI_8436_Race_4_contig	0
WHRI_8978_Race_4_contig	0
WHRI_10023A_Race_4_contig	0
WHRI_3964_Race_4_contig	0
147_Race_4_contig	0
CN03_Clade_A_contig	0
WHRI_8500_Race_6_contig	0
WHRI_8497_Race_6_contig	0
WHRI_6049_Race_6_contig	0
WHRI_6065_Race_6_contig	0
WHRI_6057_Race_6_contig	0
WHRI_10024A_Race_6_contig	0
WHRI_8883_Race_6_contig	0
CN16_Clade_G_contig	0
WHRI_6076_Race_6_contig	0
WHRI_6077_Race_6_contig	0
WHRI_6075_Race_6_contig	0
WHRI_6185_Race_6_contig	0
WHRI_6045_Race_6_contig	0
WHRI_6066_Race_6_contig	0
WHRI_6181_Race_6_contig	0
WHRI_6056_Race_6_contig	0
WHRI_8401_Race_4_contig	0
WHRI_8416A_Race_4_contig	0
WHRI_8648_Race_4_contig	0
WHRI_6186_Race_1_contig	0
WHRI_6055_Race_1_contig	0
WHRI_6183_Race_1_contig	0
WHRI_6184_Race_1_contig	0
WHRI_8857_Race_1_contig	0
WHRI_5592_Race_1_contig	0
WHRI_5594_Race_1_contig	0
WHRI_5591_Race_1_contig	0
WHRI_5771_Race_1_contig	0
WHRI_6024A_Race_1_contig	0
WHRI_6023A_Race_1_contig	0
WHRI_7074_Race_1_contig	0
WHRI_8541_Race_1_contig	0
WHRI_8420A_Race_1_contig	0
WHRI_5806_Race_1_contig	0
B100_Race_1_Clade_A_contig	0
CFBP_1119_Race_1_Clade_A_contig	0
WHRI_10018A_Race_1_contig	0
